# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,7.137853288052255,4.0,0.0,0,3.0,0,0.0,0.0,0.0
 0.08940759467525608,7.149843865030677,4.0,0.0,0.2682227840257682,2.9999999999999996,0,0.0,0.0,0.0
 0.1263920057985453,7.161815696746924,4.0,0.0,0.37917601739563583,3.0,0,0.0,0.0,0.0
 0.15473772718207185,7.173768934372465,4.0,0.0,0.46421318154621544,2.999999999999997,0,0.0,0.0,0.0
 0.1786065340844944,7.185703729078768,4.0,0.0,0.5358196022534831,3.000000000000002,0,0.0,0.0,0.0
 0.19961119538584654,7.197620232037305,4.0,0.0,0.5988335861575396,3.0,0,0.0,0.0,0.0
 0.21857920969644795,7.20951859441954,4.0,0.0,0.6557376290893437,2.999999999999997,0,0.0,0.0,0.0
 0.23600237194386062,7.221398967396947,4.0,0.0,0.7080071158315818,3.000000000000005,0,0.0,0.0,0.0
 0.25220126101817675,7.2332615021409925,4.0,0.0,0.7566037830545302,3.0000000000000018,0,0.0,0.0,0.0
 0.26739865590648537,7.245106349823147,4.0,0.0,0.8021959677194561,3.0,0,0.0,0.0,0.0
 0.28175683790888884,7.2569336616148785,4.0,0.0,0.8452705137266665,3.0,0,0.0,0.0,0.0
 0.2953983757971638,7.268743588687658,4.0,0.0,0.8861951273914914,2.999999999999996,0,0.0,0.0,0.0
 0.30841854047241013,7.280536282212952,4.0,0.0,0.9252556214172303,2.9999999999999956,0,0.0,0.0,0.0
 0.3208931341427953,7.292311893362234,4.0,0.0,0.9626794024283858,3.0,0,0.0,0.0,0.0
 0.3328836485968361,7.3040705733069675,4.0,0.0,0.9986509457905083,3.0000000000000044,0,0.0,0.0,0.0
 0.34444078849285614,7.315812473218625,4.0,0.0,1.0333223654785684,3.0,0,0.0,0.0,0.0
 0.35560695176596474,7.327537744268676,4.0,0.0,1.0668208552978942,3.0,0,0.0,0.0,0.0
 0.366418021369341,7.339246537628589,4.0,0.0,1.0992540641080228,2.9999999999999947,0,0.0,0.0,0.0
 0.3769046885863651,7.350939004469832,4.0,0.0,1.130714065759095,2.999999999999984,0,0.0,0.0,0.0
 0.3870934494508372,7.362615295963876,4.0,0.0,1.1612803483525114,3.000000000000011,0,0.0,0.0,0.0
 0.3970073678828762,7.374275563282189,4.0,0.0,1.1910221036486286,3.000000000000011,0,0.0,0.0,0.0
 0.40666666902512527,7.385919957596241,4.0,0.0,1.2200000070753758,3.0000000000000058,0,0.0,0.0,0.0
 0.4160892068016533,7.397548630077498,4.0,0.0,1.2482676204049599,3.0,0,0.0,0.0,0.0
 0.42529083683614255,7.409161731897434,4.0,0.0,1.2758725105084276,3.0,0,0.0,0.0,0.0
 0.4342857171457994,7.420759414227517,4.0,0.0,1.3028571514373983,3.0000000000000187,0,0.0,0.0,0.0
 0.4430865530096482,7.432341828239212,4.0,0.0,1.3292596590289447,2.9999999999999876,0,0.0,0.0,0.0
 0.4517047981825732,7.4439091251039935,4.0,0.0,1.3551143945477198,3.000000000000013,0,0.0,0.0,0.0
 0.4601508216089397,7.455461455993328,4.0,0.0,1.3804524648268193,2.9999999999999933,0,0.0,0.0,0.0
 0.46843404660381,7.466998972078685,4.0,0.0,1.40530213981143,2.9999999999999933,0,0.0,0.0,0.0
 0.47656306786494895,7.478521824531533,4.0,0.0,1.4296892035948467,2.9999999999999796,0,0.0,0.0,0.0
 0.4845457504860181,7.4900301645233425,4.0,0.0,1.4536372514580542,3.0,0,0.0,0.0,0.0
 0.4923893142445496,7.5015241432255815,4.0,0.0,1.4771679427336488,3.000000000000007,0,0.0,0.0,0.0
 0.5001004057569944,7.5130039118097205,4.0,0.0,1.5003012172709835,3.000000000000036,0,0.0,0.0,0.0
 0.5076851605703231,7.524469621447227,4.0,0.0,1.5230554817109694,2.9999999999999853,0,0.0,0.0,0.0
 0.5151492568549538,7.5359214233095715,4.0,0.0,1.5454477705648615,2.9999999999999853,0,0.0,0.0,0.0
 0.5224979620476792,7.547359468568222,4.0,0.0,1.5674938861430376,3.000000000000015,0,0.0,0.0,0.0
 0.5297361735445262,7.558783908394649,4.0,0.0,1.5892085206335789,3.0000000000000306,0,0.0,0.0,0.0
 0.5368684543461685,7.570194893960321,4.0,0.0,1.6106053630385058,3.0,0,0.0,0.0,0.0
 0.5438990644010168,7.581592576436707,4.0,0.0,1.6316971932030508,3.0000000000000315,0,0.0,0.0,0.0
 0.5508319882644321,7.592977106995276,4.0,0.0,1.6524959647932969,2.999999999999984,0,0.0,0.0,0.0
 0.5576709595901173,7.604348636807498,4.0,0.0,1.6730128787703524,3.0000000000000324,0,0.0,0.0,0.0
 0.5644194828863758,7.615707317044841,4.0,0.0,1.693258448659128,3.0,0,0.0,0.0,0.0
 0.5710808529017699,7.627053298878774,4.0,0.0,1.7132425587053104,3.0,0,0.0,0.0,0.0
 0.5776581719486092,7.638386733480768,4.0,0.0,1.7329745158458283,2.999999999999983,0,0.0,0.0,0.0
 0.5841543654263749,7.649707772022291,4.0,0.0,1.7524630962791252,3.0,0,0.0,0.0,0.0
 0.5905721957686784,7.661016565674812,4.0,0.0,1.7717165873060357,3.0,0,0.0,0.0,0.0
 0.596914275005239,7.6723132656098,4.0,0.0,1.7907428250157176,3.0000000000000173,0,0.0,0.0,0.0
